Name	Description	Lat	Long
Gerald Munro	Sault Ste. Marie	46.521978	-84.344115
Reg Reid	Seaforth	43.55342	-81.393467
Herb Mitchell	Meaford	44.604923	-80.591358
Werner Schnarr	Berlin now Kitchener	43.43567	-80.476658
Jim "Dutch" Cain	Newmarket	44.059072	-79.461206
Normand Shay	Huntsville	45.327011	-79.219103
George Redding	Peterborough	44.308684	-78.320081
Fred Lowrey	Ottawa	45.422953	-75.689707
Sammy Rothschild	Sudbury	46.489941	-81.007726
Edwin Gorman	Buckingham	45.586615	-75.416751
Charlie Langlois	Lotbiniere	46.616609	-71.930756
Alex McKinnon	Sault Ste. Marie	46.521742	-84.346862
Jimmy Herberts	Collingwood	44.500417	-80.217538
Chuck "Dinny" Dinsmore	Toronto	43.652976	-79.382856
Bert McCaffrey	Toronto	43.652976	-79.382856
Mike Neville	Grand'Mere	46.616561	-72.689565
Frank Ingram	Craven	50.708338	-104.808879
Carson Cooper	Cornwall	45.020753	-74.73145
Dunc Munro	Moray		
Alex Smith	Bootle		
Alec Connell	Ottawa	45.420543	-75.691767
Clarence "Happy" Day	Owen Sound	44.569001	-80.940608
Reginald "Hooley" Smith	Toronto	43.652976	-79.382856
Bob Hall	Oak Park	41.884767	-87.784207
Fred Bourdginon	Parry Sound	45.347315	-80.035049
John Brackenborough	Parry Sound	45.347315	-80.035049
Gord Spence	Haileybury	47.480503	-79.712778
Bill Taugher	Kingston	44.230449	-76.487058
Jack Duggan	Ottawa	45.420543	-75.691767
Herb Rheaume	Masson-Angers/Gatineau	45.543435	-75.416309
Hector Lepine	Sainte-Anne-de-Bellevue	45.403413	-73.950368
Rene Boileau	Poimte Claire	45.472654	-73.798784
Roger Cormier	Montreal	45.511528	-73.550721
Roland Paulhus	Sorel	46.042663	-73.112189
Alphonse Lacroix	Newton	42.337302	-71.210073
Charles "Moose" Cahill	Summerside	46.393206	-63.789885
Charles "Bonner" Larose	Ottawa	45.422953	-75.689707
John "Crutchy" Morrison	Selkirk	50.143794	-96.875592
Chapman "Hobie" Kitchen	Newmarket	44.048554	-79.461635
George "Shorty" Horne	Sudbury	46.488995	-81.003606
Duke McCurry	Toronto	43.104333	-79.421096
Bernie Brophy	Collingwood	44.500417	-80.217538
Pete Bellefeuille	Trois-Rivieres	46.343385	-72.549593
Bill Holmes	Portage la Prairie	49.972197	-98.289257
Wilfred "Tex" White	Hillsburgh	43.776106	-80.065168
Herbert Drury	Midland	44.750732	-79.89368
Rodger Smith	Ottawa	45.422953	-75.689707
Harold "Joe" Simpson	Selkirk	50.143794	-96.875592
Merlyn "Bill" Phillips	Richmond Hill	43.882044	-79.439631
Hib Milks	Eardley	45.55218	-76.099135
Harold Darragh	Ottawa	45.420543	-75.691767
Leland "Hago" Harrington	Melrose	42.458342	-71.06591
Frank Carson	Bracebridge	45.038568	-79.30664
Albert "Battleship" Leduc	Valleyfield	45.250454	-74.132638
Harold "Baldy" Cotton	Nanticoke	42.808853	-80.078809
Lionel Conacher	Toronto	43.652976	-79.382856
Roy Worters	Toronto	43.652976	-79.382856
Wildor Larochelle	Sorel	46.042663	-73.112189
Alfred "Pit" Lepine	Bellevue	45.40405	-73.952315
Johnny McKinnon	Guysborough	45.390655	-61.498467
Albert "Babe" Siebert	Plattsville	43.3033	-80.621527
Hec Kilrea	Blackburn	45.436559	-75.549235
Nels Stewart	Montreal	45.511528	-73.550721
Art Townsend	Portland	45.523437	-122.676051
Ollie Reinikka	Shuswap	50.965471	-119.288198
Albert Pudas	Thunder Bay	48.382269	-89.246933
James "Babe" Donnelly	Sault Ste. Marie	46.521978	-84.344115
Art "Nosey" Gauthier	Espanola	46.26568	-81.770872
Reg Mackey	North Gower	45.13148	-75.716067
Jim Riley	Bayfield	46.137672	-63.816793
Harold "Slim" Halderson	Winnipeg	49.898957	-97.136776
Gord McFarlane	Snowflake	49.046951	-98.66013
Fred Gordon	Fleming	50.075684	-101.513007
Jack Walker	Silver Mountain	48.260321	-89.896121
Frank Foyston	Minesing	44.415453	-79.854768
Clarence Boucher	North Bay	46.308722	-79.46156
Stan Brown	North Bay	46.308722	-79.46156
Laurie Scott	South River	45.841118	-79.379383
Frank "Mickey" McGuire	Gravenhurst	44.919425	-79.372959
Leo Lafrance	L'Isle-aux-Allumettes	45.874586	-77.077124
Lester Patrick	Drummondville	45.87983	-72.487383
Hugh Lehman	Pembroke	45.826664	-77.110455
Amby Moran	Winnipeg	49.898957	-97.136776
Hal Winkler	Gretna	49.00795	-97.561016
Dick Irvin	Hamilton	43.253309	-96.868105
Percy Traub	Elmwood	44.241935	-81.056514
Russell Oatman	Tillsonburg	42.865948	-80.733803
Jack Arbour	Waubaushene	44.753796	-79.71214
Milt Halliday	Ottawa	45.420543	-75.691767
Gordon "Duke" Keats	Montreal	45.511528	-73.550721
Herb Gardiner	Winnipeg	49.898957	-97.136776
Clem Loughlin	Carroll	49.607449	-100.031584
Bill Carson	Bracebridge	45.038568	-79.30664
Billy Boyd	Belleville	44.163313	-77.386545
Archie Briden	Renfrew	45.475246	-76.687485
Bill "Bat" Phillips	Carleton Place	45.141011	-76.146184
Duncan "Mickey" MacKay	Ymir	49.28454	-117.218314
Bobby Connors			
Arthur Duncan	Sault Ste.Marie	46.521978	-84.344115
Ernest "Ty" Arbour	Waubaushene	44.753796	-79.71214
Eddie Rodden	Mattawa	46.317536	-78.702402
Gord Fraser	Pembroke	45.826723	-77.110541
Frank Frederickson	Winnipeg	49.898957	-97.136776
Art Gagne	Ottawa	45.420543	-75.691767
Harold "Gizzy" Hart	Weyburn	49.663566	-103.853004
George Hay	Listowel	43.733981	-80.951256
Bobby Trapp	Pembroke	45.826723	-77.110541
James "Flat" Walsh	Kingston	44.230449	-76.487058
Loudus "Duke" Dukowski	Regina	50.454439	-104.605965
Clarence "Taffy" Abel	Sault Ste. Marie	46.49515	-84.34369
Danny Cox	Northeastern Manitoulin	45.9608	-81.935031
Percy "Perk" Galbraith	Toronto	43.652976	-79.382856
Irvine "Ace" Bailey	Bracebridge	45.038568	-79.30664
John Sheppard	Montreal	45.511528	-73.550721
Charles "Rabbit" McVeigh	Kenora	49.766395	-94.487216
Lloyd Gross	Kitchener	43.434673	-80.478375
Norman Himes	Galt	43.361502	-80.316109
Leo Bourgeault	Sturgeon Falls	46.37312	-79.932047
George Patterson	Kingston	44.230449	-76.487058
