Name	Description	Lat	Long
Keith Wright	Aurora	44.006579	-79.450712
Mike Corbett	Toronto	43.652976	-79.382856
Tom Martin	Toronto	43.652976	-79.382856
George Standing	Toronto	43.652976	-79.382856
Gerry Goyer	Belleville	44.163313	-77.386545
Jim Anderson	Pembroke	45.826723	-77.110541
Tom Thurlby	Kingston	44.230449	-76.487058
Bob Charlebois	Cornwall	45.020753	-74.73145
Jean Cusson	Verdun	45.455173	-73.569546
Bob Lemieux	Montreal	45.511528	-73.550721
Roger Pelletier	Montreal	45.511528	-73.550721
Roger Picard	Montreal	45.511528	-73.550721
Claude Cardin	Sorel	46.042663	-73.112189
Andre Gill	Sorel	46.042663	-73.112189
Andre Hinse	Trois-Rivieres	46.343385	-72.549593
Leo Thiffault	Drummondville	45.880547	-72.482919
Bobby Rivard	Sherbrooke	45.400915	-71.882336
Ed Hoekstra	Winnipeg	49.898957	-97.136776
Ted Lanyon	Winnipeg	49.898957	-97.136776
Bill Masterton	Winnipeg	49.898957	-97.136776
Geoff Powis	Winnipeg	49.898957	-97.136776
Don Caley	Dauphin	51.150199	-100.049961
Jim Murray	Virden	49.848666	-100.932404
George Konik	Flin Flon	54.765412	-101.876188
Barrie Meissner	Unity	52.44375	-109.158212
Joe Szura	Fort William	48.345006	-89.34821
Gary Marsh	Toronto	43.652976	-79.382856
Brian Smith	Ottawa	45.420543	-75.691767
Alain Caron	Dolbeau	48.881952	-72.232935
Bill Orban	Regina	50.454439	-104.605965
Gene Ubriaco	Sault Ste. Marie	46.521978	-84.344115
Wayne Rutledge	Barrie	44.389977	-79.690598
Ray Fortin	Drummondville	45.880547	-72.482919
Jacques Lemieux	Matane	48.844756	-67.535255
Howie Hughes	St. Boniface	49.88783	-97.117031
Mike Laughton	Nelson	49.49278	-117.29417
George Swarbrick	Moose Jaw	50.391799	-105.536425
Norm Beaudin	Montmartre	50.219355	-103.448182
Dick Mattiussi	Smooth Rock Falls	49.27589	-81.620251
Brian McDonald	Toronto	43.652976	-79.382856
Bill Speer	Lindsay	44.356604	-78.740553
Bill Inglis	Ottawa	45.420543	-75.691767
Ron Anderson	Red Deer	52.267767	-113.811302
Gary Veneruzzo	Fort William	48.345006	-89.34821
Bryan Campbell	Sudbury	46.488995	-81.003606
Les Binkley	Owen Sound	44.569001	-80.940608
Rosaire Paiement	Earlton	47.710709	-79.824597
Gordon Kannegiesser	North Bay	46.308722	-79.46156
Mike Byers	Toronto	43.652976	-79.382856
Danny Lawson	Toronto	43.652976	-79.382856
Ralph MacSweyn	Hawkesbury	45.60719	-74.604866
Terry Ball	Selkirk	50.143794	-96.875592
Joe Daley	East Kildonan	49.932685	-97.066437
Wayne Maki	Sault Ste. Marie	46.521978	-84.344115
Terry Clancy	Ottawa	45.420543	-75.691767
Marshall Johnston	Birch Hills	52.982416	-105.43221
Roy Edwards	Haldimand	42.920091	-79.873025
Jacques Caron	Rouyn-Noranda	48.234054	-79.018812
Paul Terbenche	Port Hope	43.949179	-78.293503
Rick McCann	Hamilton	43.253309	-107.868105
Brent Hughes	Bowmanville	43.913058	-78.689606
Bill Plager	Kapuskasing	49.412384	-82.417703
Mickey Redmond	Kirkland Lake	48.150969	-80.03312
Bill White	Toronto	43.104333	-79.421096
Frank St. Marseille	Levack	46.640572	-81.38833
Larry Johnston	Kitchener	43.434673	-80.478375
Gary Sabourin	Parry Sound	45.347315	-80.035049
Barclay Plager	Kirkland Lake	48.150969	-80.03312
Tracy Pratt	New York	40.71565	-74.00401
Simon Nolet	St. Odilon	46.360566	-70.680448
Lou Nanne	Sault Ste. Marie	46.521978	-84.344115
Tim Ecclestone	Toronto	43.652976	-79.382856
Mike Pelyk	Toronto	43.652976	-79.382856
Tom Reid	Fort Erie	42.902415	-78.971694
Bill Collins	Ottawa	45.420543	-75.691767
Mike Corrigan	Ottawa	45.420543	-75.691767
Darryl Edestrand	Strathroy	42.95594	-81.623112
Garry Monahan	Barrie	44.389977	-79.690598
Doug Favell	St. Catharines	43.159613	-79.243707
Jacques Lemaire	LaSalle	45.428597	-73.631359
Bill Flett	Vermillion	53.354055	-110.858242
Barry Gibbs	Lloydminster	53.278381	-110.006953
Andre Lacroix	Lauzon	46.819219	-71.159335
Dennis Hextall	Poplar Point	50.057033	-97.976239
Bobby Schmautz	Saskatoon	52.13249	-106.683119
Nick Libett	Stratford	43.36951	-80.981931
Walt Tkaczuk	Emstedetten		
Garry Unger	Calgary	51.045074	-114.059049
Walt McKechnie	London	42.98782	-81.241753
Bill LeCaine	Moose Jaw	50.391799	-105.536425
Mike Chernoff	Yorkton	51.213424	-102.462645
Bob Jones	Espanola	46.26568	-81.770872
Myron Stankiewicz	Kitchener	43.434673	-80.478375
Robbie Irons	Toronto	43.652976	-79.382856
Barry MacKenzie	Toronto	43.652976	-79.382856
Garry Swain	Welland	42.991536	-79.246783
Ted Ouimet	Rouyn-Noranda	48.234054	-79.018812
Joe Junkin	Lindsay	44.356604	-78.740553
Gary Dineen	Montreal	45.511528	-73.550721
Paul Hurley	Melrose	42.458342	-71.06591
Bill "Sandy" Snow	Donkin	46.181928	-59.873739
Grant Erickson	Pierceland	54.343416	-109.777398
Ron Snell	Regina	50.454439	-104.605965
Jim Wiste	Moose Jaw	50.391799	-105.536425
Hank Monteith	Stratford	43.36951	-80.981931
Earl Heiskala	Kirkland Lake	48.150969	-80.03312
Bob Blackburn	Rouyn-Noranda	48.234054	-79.018812
Rene LeClerc	Ville de Vanier	46.8205	-71.266337
Brian Perry	Aldershot		
Chris Worthy	Bristol		
Ed Hatoum	Beruit		
Larry Hale	Summerland	49.607388	-119.676882
Doug Barrie	Edmonton	53.544455	-113.490859
Norm Dennis	Aurora	44.006579	-79.450712
Fred Speck	Thorold	43.108599	-79.215297
Chris Bordeleau	Rouyn-Noranda	48.234054	-79.018812
Lucien Grenier	Malartic	48.136978	-78.12522
Jim Dorey	Kingston	44.230449	-76.487058
Guy Trottier	Hull	45.429158	-75.713009
Dick Sarrazin	St.-Gabriel-de-Bran.	46.300452	-73.373403
Norm Ferguson	Sydney	46.137046	-60.193456
Danny O'Shea	Ajax	43.851075	-79.019381
Ray McKay	Edmonton	53.544455	-113.490859
Marv Edwards	St. Catharines	43.159613	-79.243707
Steve Atkinson	Toronto	43.104333	-79.421096
Fern Rivard	Grand'Mere	46.616561	-72.689565
Joey Johnston	Peterborough	44.308684	-78.320081
Jean-Guy Lagace	Chomedey	45.544885	-73.762075
Pat Quinn	Hamilton	43.253309	-116.868105
Bob Berry	Montreal	45.511528	-73.550721
Garnet "Ace" Bailey	Lloydminster	53.278381	-110.006953
Gerry Desjardins	Sudbury	46.488995	-81.003606
Jim Lorentz	Waterloo	43.463906	-80.521829
Gerry Meehan	Toronto	43.652976	-79.382856
Jean-Paul LeBlanc	South Durham	45.660399	-72.340022
Bill Fairbairn	Brandon	49.848577	-99.950312
Jim Harrison	Bonnyville	54.267034	-110.749752
Bill Lesuk	Moose Jaw	50.391799	-105.536425
Gary Croteau	Sudbury	46.488995	-81.003606
Tom Webster	Kirkland Lake	48.150969	-80.03312
Francois Lacombe	Lachine	45.44521	-73.685071
Rick Smith	Hamilton	43.253309	-119.868105
Rick Ley	Orillia	44.608081	-79.419076
Serge Bernier	Padoue	48.585875	-67.95115
Jude Drouin	Murdochville	48.958516	-65.493131
Paul Shmyr	Cudworth	52.489913	-105.734907
Gary Edwards	Toronto	43.652976	-79.382856
Jean Pronovost	Shawinigan Falls	46.562481	-72.743091
Gerry Hart	Flin Flon	54.765412	-101.876188
Tony Esposito	Sault Ste. Marie	46.521978	-84.344115
Guy Lapointe	Montreal	45.511528	-73.550721
Brad Park	Toronto	43.652976	-79.382856
Gord Nelson	Kinistino	52.951924	-105.030975
Randy Murray	Chatham	42.407626	-90.185303
Doug Acomb	Toronto	43.652976	-79.382856
Michel Briere	Malartic	48.136978	-78.12522
Bob Whitlock	Charlottetown	46.238953	-63.131711
Jaroslav Jirik	Brunn		
Danny Schock	Terrace Bay	48.784183	-87.096266
Barry Boughner	Delhi	42.852819	-80.49909
Bob Barlow	Hamilton	43.253309	-79.868105
Terry Caffery	Toronto	43.652976	-79.382856
Tom Polanic	Toronto	43.652976	-79.382856
Joe Hardy	Jonquiere	48.417588	-71.23666
Gerry Pinder	Saskatoon	52.13249	-106.683119
Ron Ward	Cornwall	45.020753	-84.73145
Jim Stanfield	Toronto	43.652976	-79.382856
Don O'Donoghue	Kingston	44.230449	-76.487058
Larry Pleau	Boston	42.357025	-71.063509
Dan Johnson	Winnipegosis	51.649925	-99.926519
Al Karlander	Lac La Hache	51.81552	-121.552828
Larry McIntyre	Moose Jaw	50.391799	-105.536425
Fran Huck	Regina	50.454439	-104.605965
Doug Volmar	Cleveland	41.499314	-81.69453
Paul Curtis	Peterborough	44.308684	-78.320081
Tony Featherstone	Toronto	43.104333	-79.421096
Rick Kessell	Toronto	43.652976	-79.382856
Nick Harbaruk	Drohiczyn	52.400292	22.658327
Ken Broderick	Toronto	43.652976	-79.382856
Chris Evans	Toronto	43.652976	-79.382856
Jack Egers	Sudbury	46.488995	-81.003606
Ken Murray	Toronto	43.652976	-79.382856
Frank Spring	Rossland	49.078357	-117.799609
Mike Robitaille	Midland	44.750732	-79.89368
Phil Roberto	Niagara Falls	43.089796	-79.088035
Juha Widing	Uleaborg		
Lew Morrison	Gainsborough	49.177415	-101.44911
Neil Nicholson	St. John	45.272817	-66.067844
Larry Brown	Brandon	49.848577	-99.950312
Brian Spencer	Fort St. James	54.443798	-124.253925
Ab DeMarco	Cleveland	41.499314	-81.69453
Brian Glennie	Toronto	43.652976	-79.382856
Dunc Wilson	Toronto	43.652976	-79.382856
Keith Magnuson	Saskatoon	52.13249	-106.683119
Cliff Koroll	Canora	51.634042	-102.436734
J.P. Bordeleau	Rouyn-Noranda	48.234054	-79.018812
Guy Charron	Verdun	45.455173	-73.569546
Dale Hoganson	North Battleford	52.776322	-108.29849
Don Luce	London	42.98782	-81.241753
Dick Redmond	Kirkland Lake	48.150969	-80.03312
Bobby Sheehan	Weymouth	42.217785	-70.941978
Rejean Houle	Rouyn-Noranda	48.234054	-79.018812
Phil Myre	Sainte-Anne-de-Bellevue	45.403345	-73.950336
Gilles Gilbert	St. Esprit	45.900454	-73.663187
Marc Tardif	Granby	45.403328	-72.733552
Bobby Clarke	Flin Flon	54.765412	-101.876188
Robert "Butch" Goring	St. Boniface	49.88783	-97.117031
Garth Rizzuto	Trail	49.096384	-117.711991
Bob Liddington	Calgary	51.045074	-114.059049
Hap Myers	Edmonton	53.544455	-113.490859
Cliff Schmautz	Saskatoon	52.13249	-106.683119
Ken Brown	Port Arthur	48.430885	-89.234172
Murray McLachlan	London	42.98782	-81.241753
Doug Brindley	Walkerton	44.13132	-81.150386
Jim Krulicki	Kitchener	43.434673	-80.478375
Paul Hoganson	Toronto	43.652976	-79.382856
Bob Sneddon	Montreal	45.511528	-73.550721
Gary Geldart	Moncton	46.087187	-64.777598
Ken Block	Steinbach	49.526268	-96.684307
Don McLeod	Trail	49.096384	-117.711991
Larry Hornung	Gravelbourg	49.875765	-106.557707
John Schella	Port Arthur	48.430885	-89.234172
Jim Niekamp	Detroit	42.33241	-83.047363
George Morrison	Toronto	43.652976	-79.382856
Rod Zaine	Ottawa	45.420543	-75.691767
Jim Shires	Edmonton	53.544455	-113.490859
Gerry Gray	Brantford	43.138841	-86.265139
Steve Cardwell	Toronto	43.652976	-79.382856
Kevin O'Shea	Toronto	43.652976	-79.382856
Cam Newton	Peterborough	44.308684	-78.320081
Bill Heindl	Sherbrooke	45.400915	-71.882336
Jim Hargreaves	Winnipeg	49.898957	-97.136776
Randy Wyrozub	Lacombe	52.462987	-113.729177
Brian Marchinko	Weyburn	49.663566	-103.853004
Danny Seguin	Sudbury	46.488995	-81.003606
Rick Foley	Niagara Falls	43.089796	-79.088035
Butch Deadmarsh	Trail	49.096384	-117.711991
Jim Mair	Schumacher	48.476848	-81.29834
Bob Cook	Sudbury	46.488995	-81.003606
Tom Miller	Kitchener	43.434673	-80.478375
Serge Lajeunesse	Montreal	45.511528	-73.550721
John Stewart	Eriksdale	50.860548	-98.101939
Willie Brossart	Allan	51.89395	-106.055013
Robin Burns	Montreal	45.511528	-73.550721
Fred "Buster" Harvey	Fredericton	45.96396	-66.643204
Bill MacMillan	Charlottetown	46.238953	-63.131711
Larry Romanchych	Vancouver	49.260787	-123.112918
Ernie Hicke	Regina	50.454439	-104.605965
Ralph Stewart	Fort William	48.345006	-89.34821
Sheldon Kannegiesser	North Bay	46.308722	-79.46156
Al McDonough	St. Catharines	43.159613	-79.243707
Denis Dupere	Jonquiere	48.42374	-71.23769
Ken Dryden	Hamilton	43.253309	-87.868105
Greg Polis	Westlock	54.152103	-113.850836
Curt Bennett	Regina	50.454439	-104.605965
Randy Manery	Leamington	42.055049	-82.596118
Brad Selwood	Leamington	42.055049	-82.596118
Syl Apps	Toronto	43.652976	-79.382856
Dale Tallon	Rouyn-Noranda	48.234054	-79.018812
Dennis O'Brien	Port Hope	43.949179	-78.293503
Hilliard Graves	Saint John	45.273542	-66.066471
Yvon Labre	Sudbury	46.488995	-81.003606
Jean Potvin	Ottawa	45.420543	-75.691767
Errol Thompson	Summerside	46.393206	-63.789885
Chuck Lefley	Winnipeg	49.898957	-97.136776
Bob Murdoch	Kirkland Lake	48.150969	-80.03312
Dan Maloney	Barrie	44.389977	-79.690598
Bob Kelly	Oakville	43.467542	-79.687181
Ron Stackhouse	Haliburton	45.048223	-78.509721
Michel Plasse	Montreal	45.511528	-73.550721
Pierre Bouchard	Longueuil	45.537833	-73.510396
Rene Robert	Trois-Rivieres	46.343385	-72.549593
Jim Rutherford	Beeton	44.079219	-79.784309
Andre Dupont	Trois-Rivieres	46.343385	-72.549593
Reggie Leach	Riverton	50.996157	-96.999858
Rick MacLeish	Cannington	44.350329	-79.038625
Fred Barrett	Ottawa	45.420543	-75.691767
Jerry Korab	Sault Ste. Marie	46.521978	-84.344115
Darryl Sittler	Kitchener	43.434673	-80.478375
Ivan Boldirev	Zranjanin		
Gilbert Perreault	Victoriaville	46.055804	-71.959192
Gilles Meloche	Montreal	45.511528	-73.550721
Frank Hughes	Fernie	49.504623	-115.063327
Brian Carlin	Calgary	51.045074	-114.059049
Jimmy McLeod	Thunder Bay	48.382269	-89.246933
Jim Jones	Espanola	46.26568	-81.770872
Gary Kurt	Kitchener	43.434673	-80.478375
Brian McKenzie	St. Catharines	43.159613	-79.243707
Chris Hayes	Rouyn	48.234054	-79.018812
Michel Parizeau	Montreal	45.511528	-73.550721
Lyle Carter	Truro	45.365819	-63.286505
Steve Andrascik	Sherridon	55.124226	-101.085754
Ken Baird	Flin Flon	54.765412	-101.876188
Ed Dyck	Warman	52.318445	-106.575326
Joe Noris	Denver	39.737151	-104.985574
Gary Gambucci	Hibbing	47.426991	-92.935927
Andy Brown	Hamilton	43.253309	-81.868105
Del Hall	Peterborough	44.308684	-78.320081
Brian Lavender	Edmonton	53.544455	-113.490859
Gord Brooks	Cobourg	43.959298	-78.167247
Pete Laframboise	Ottawa	45.420543	-75.691767
Rene Drolet	Quebec	46.803455	-71.242647
Bobby Taylor	Calgary	51.045074	-114.059049
Gregg Boddy	Ponoka	52.675951	-113.583292
Ron Jones	Vermilion	53.354055	-110.858242
Peter McDuffe	Milton	43.518402	-79.876518
Richard Lemieux	Temiscaming	46.718557	-79.091869
Norm Gratton	LaSalle	45.428597	-73.631359
Germain Gagnon	Chicoutimi	48.422738	-71.061304
Al Simmons	Winnipeg	49.898957	-97.136776
Henry Boucha	Warroad	48.905478	-95.315279
Stan Gilbertson	Duluth	46.788501	-92.100237
Bill Mikkelson	Neepawa	50.227924	-99.46636
Larry Wright	Regina	50.454439	-104.605965
Pierre Jarry	Montreal	45.511528	-73.550721
Gene Carr	Nanaimo	49.16531	-123.943201
Bob Paradise	St. Paul	44.953315	-93.090776
Craig Patrick	Detroit	42.33241	-83.047363
Tom Williams	Windsor	42.314259	-83.037386
Gerry O'Flaherty	Pittsburgh	40.443127	-79.962133
Chuck Arnason	Ashern	51.182501	-98.344641
Darryl Maggs	Saskatoon	52.13249	-106.683119
Dave Schultz	Waldheim	52.620306	-106.652895
Don Saleski	Moose Jaw	50.391799	-105.536425
Floyd Thomson	Sudbury	46.488995	-81.003606
John Gould	Alliston	44.153944	-79.869301
Pierre Plante	Valleyfield	45.250454	-74.132638
Rey Comeau	Montreal	45.511528	-73.550721
Jocelyn Guevremont	Montreal	45.511528	-73.550721
Bob Stewart	Charlottetown	46.238953	-63.131711
Wayne Stephenson	Fort William	48.345006	-89.34821
Dave Burrows	Toronto	43.104333	-79.421096
Dennis Kearns	Kingston	44.230449	-76.487058
Bill Clement	Buckingham	45.586615	-75.416751
Rick Martin	La Salle	45.428597	-73.631359
Bobby Lalonde	Montreal	45.511528	-73.550721
Mike Murphy	Toronto	43.104333	-79.421096
Rick Kehoe	Windsor	42.314259	-83.037386
Craig Ramsay	Weston	43.700286	-79.515009
Terry O'Reilly	Niagara Falls	43.089796	-79.088035
Billy Smith	Perth	44.898927	-76.248354
Marcel Dionne	Drummondville	45.880547	-72.482919
Guy Lafleur	Thurso	45.597289	-75.243156
Ron Homenuke	Hazelton	55.257008	-127.671942
Kerry Ketter	Prince George	53.918205	-122.748299
Dave McClelland	Penticton	49.497887	-119.593037
Morris Stefaniw	North Battleford	52.776322	-108.29849
Dale Smedsmo	Bemidji	47.472947	-94.881289
Bruce McIntosh	Edina	44.88954	-93.350303
Connie Madigan	Port Arthur	48.430885	-89.234172
David Pulkkinen	Kapuskasing	49.412384	-82.417703
Randy Legge	Newmarket	44.059072	-79.461206
Hugh Harris	Toronto	43.652976	-79.382856
Pete Vipond	Whitby	43.897659	-78.940855
Ron Smith	Port Hope	43.949179	-78.293503
Richard Grenier	Montreal	45.511528	-73.550721
Moe L'Abbe	Montreal	45.511528	-73.550721
Bob Richer	Cowansville	45.206556	-72.747304
Ron Busniuk	Fort William	48.345006	-89.34821
Terry Holbrook	Petrolia	42.881967	-82.144394
Don Tannahill	Penetanguishene	44.768786	-79.934051
Fred O'Donnell	Kingston	44.230449	-76.487058
Len Fontaine	Quebec City	46.803455	-71.242647
Rick Newell	Winnipeg	49.898957	-97.136776
Barry Wilcox	New Westminster	49.204145	-122.919914
Ted McAneeley	Cranbrook	49.512539	-115.769015
Morris Mott	Creelman	49.819538	-103.306907
Phil Hoene	Duluth	46.788501	-92.100237
John Adams	Port Arthur	48.430885	-89.234172
Bob Johnson	Farmington	42.464519	-83.376569
Randy Osburn	Collingwood	44.500417	-80.217538
Ross Brooks	Toronto	43.652976	-79.382856
Norm "Rocky" Farr	Toronto	43.652976	-79.382856
John Wright	Toronto	43.652976	-79.382856
Bryan McSheffrey	Ottawa	45.420543	-75.691767
Joe Lundrigan	Corner Brook	48.949575	-57.950254
Dave Kryskow	Edmonton	53.544455	-113.490859
Doug Rombough	Fergus	43.705961	-80.377835
Michel Belhumeur	Sorel	46.042663	-73.112189
Randy Rota	Creston	49.095736	-116.513607
Larry Sacharuk	Saskatoon	52.13249	-106.683119
Walt Ledingham	Midale	49.395948	-103.411012
Mike Lampman	Hamilton	43.253309	-101.868105
Danny Gruen	Thunder Bay	48.382269	-89.246933
Jim Wiley	Sault Ste. Marie	46.521978	-84.344115
Dave Fortier	Sudbury	46.488995	-81.003606
Brent Meeke	Toronto	43.104333	-79.421096
Bruce Bullock	Toronto	43.652976	-79.382856
Chris Ahrens	San Bernardino	34.108628	-117.288704
Jim McElmury	St. Paul	44.953315	-93.090776
Dave Hudson	Saint Thomas	42.777761	-81.181579
Gord McRae	Sherbrooke	45.400915	-71.882336
Jerry Byers	Kentville	45.076928	-64.494429
Larry Bolonchuk	Winnipeg	49.898957	-97.136776
Bryan Lefley	Grosse Isle	50.061954	-97.438885
Brian Ogilvie	Stettler	52.322529	-112.710579
Don Kozak	Saskatoon	52.13249	-106.683119
Vic Venasky	Thunder Bay	48.382269	-89.246933
John Grisdale	Geraldton	49.760913	-87.277017
Steve Durbano	Toronto	43.652976	-79.382856
Ron Lalonde	Toronto	43.652976	-79.382856
Jack Lynch	Toronto	43.652976	-79.382856
Murray Wilson	Toronto	43.652976	-79.382856
Lyle Moffat	Calgary	51.045074	-114.059049
Len Frig	Lethbridge	49.695619	-112.840572
Bill Hogaboam	Swift Current	50.285397	-107.797529
Dave Gardner	Toronto	43.652976	-79.382856
Larry Carriere	Montreal	45.511528	-73.550721
Neil Komadoski	Winnipeg	49.898957	-97.136776
Thommie Bergman	Munkfors		
Tom Bladon	Edmonton	53.544455	-113.490859
Lorne Henning	Melfort	52.860862	-104.61389
Rick Dudley	Toronto	43.652976	-79.382856
Wayne Thomas	Ottawa	45.420543	-75.691767
Rich Leduc	Isle-Perrot	45.393194	-73.955587
Chris Oddleifson	Brandon	49.848577	-99.950312
Jim Watson	Smithers	54.782525	-127.16812
Barry Long	Red Deer	52.267767	-113.811302
Orest Kindrachuk	Nanton	50.345866	-113.774232
Gregg Sheppard	North Battleford	52.776322	-108.29849
Steve Vickers	Toronto	43.652976	-79.382856
Terry Murray	Shawville	45.603787	-76.491578
Yvon Lambert	Drummondville	45.880547	-72.482919
John Marks	Winnipeg	49.898957	-97.136776
Stan Weir	Ponoka	52.675951	-113.583292
Jerry Butler	Sarnia	42.974013	-82.402011
Jacques Richard	Quebec City	46.803455	-71.242647
Garry Howatt	Glendon	54.249921	-111.154186
Wayne Merrick	Sarnia	42.974013	-82.402011
Billy Harris	Toronto	43.652976	-79.382856
Bill Barber	Callander	46.222316	-79.36635
George Ferguson	Trenton	44.101884	-77.576009
Jean Hamel	Asbestos	45.773848	-71.936594
Jim Schoenfeld	Galt	43.361502	-80.316109
Steve Shutt	Toronto	43.652976	-79.382856
Robbie Ftorek	Needham	42.280892	-71.245884
Ron Low	Birtle	50.42237	-101.044909
Dan Bouchard	Val d'Or	48.097574	-77.799968
Denis Herron	Chambly	45.439167	-73.290226
Bob Nystrom	Stockholm		
Phil Russell	Edmonton	53.544455	-113.490859
Don Lever	South Porcupine	48.48537	-81.210257
Larry Robinson	Winchester	45.090064	-75.353551
Gary Donaldson	Trail	49.096384	-117.711991
Al McLeod	Medicine Hat	50.040168	-110.67609
Barry Cummins	Regina	50.454439	-104.605965
Gene Sobchuk	Lang	49.918704	-104.372415
Bob Collyard	Hibbing	47.426991	-92.935927
Jim Watt	Duluth	46.78709	-92.10058
Ted Tucker	Thunder Bay	48.382269	-89.246933
Murray Wing	Thunder Bay	48.382269	-89.246933
Dennis McCord	Chatham	42.407626	-89.185303
Ron Serafini	Royal Oak	42.508763	-83.151636
Danny Gloor	Mitchell	43.46868	-81.196739
Bernie MacNeil	Sudbury	46.488995	-81.003606
Paul Shakes	Collingwood	44.500417	-80.217538
Larry Gould	Alliston	44.153944	-79.869301
Steve Stone	Toronto	43.652976	-79.382856
Vic "Skeeter" Teal	St. Catharines	43.159613	-79.243707
Peter Folco	Montreal	45.511528	-73.550721
Connie Forey	Montreal	45.511528	-73.550721
Tord Lundstrom	Kiruna		
Bruce Greig	High River	50.580158	-113.870513
Larry Bignell	Edmonton	53.544455	-113.490859
John Rogers	Frenchman Butte	53.669239	-109.429083
Bernie Lukowich	North Battleford	52.776322	-108.29849
Rod Norrish	Saskatoon	52.13249	-106.683119
Lynn Powis	Saskatoon	52.13249	-106.683119
Rick Chinnick	Chatham	42.407626	-83.185303
Gary Coalter	Toronto	43.652976	-79.382856
Ted Snell	Ottawa	45.420543	-75.691767
Tom Mellor	Cranston	41.779553	-71.436997
Dave Hynes	Cambridge	42.373571	-71.109906
Alain Langlais	Chicoutimi	48.422738	-71.061304
Ron Huston	Manitou	49.240404	-98.538635
Nelson DeBenedet	Cordenons		
Dave Dunn	Moosomin	50.143711	-101.666724
Warren "Butch" Williams	Duluth	46.78709	-92.10058
Bob Gryp	Chatham	42.407626	-86.185303
Rob Palmer	Detroit	42.33241	-83.047363
Wayne King	Midland	44.750732	-79.89368
Paulin Bordeleau	Rouyn-Noranda	48.234054	-79.018812
Bob McManama	Belmont	42.392923	-71.174203
Paul O'Neil	Boston	42.357025	-71.063509
Bruce Cowick	Victoria	48.428388	-123.365627
Bob Gassoff	Quesnel	52.980966	-122.490561
Don Martineau	Kimberley	49.669734	-115.978819
Lyle Bradley	Lloydminster	53.278381	-110.006953
Rick Wilson	Prince Albert	53.203668	-105.7538
Dwight Bialowas	Regina	50.454439	-104.605965
Bob Murray	Burlington	43.325011	-84.79797
Hank Nowak	Oshawa	43.896099	-78.864618
Glenn Patrick	New York	40.71565	-74.00401
Dave Hrechkosy	Winnipeg	49.898957	-97.136776
Gary Holt	Sarnia	42.974013	-82.402011
Bob Neely	Sarnia	42.974013	-82.402011
Jean Lemieux	Rouyn-Noranda	48.234054	-79.018812
Doug Gibson	Peterborough	44.308684	-78.320081
Terry Richardson	New Westminster	49.204145	-122.919914
J.-Bob Kelly	Fort William	48.345006	-89.34821
Dave Forbes	Montreal	45.511528	-73.550721
Mike Korney	Dauphin	51.150199	-100.049961
Inge Hammarstrom	Sundsvall		
Wayne Bianchin	Nanaimo	49.16531	-123.943201
Larry Giroux	Weyburn	49.663566	-103.853004
Nelson Pyatt	Port Arthur	48.430885	-89.234172
Bill McKenzie	Saint Thomas	42.777761	-81.181579
Doug Grant	Cornerbrook	48.949405	-57.950254
Blair Stewart	Winnipeg	49.898957	-97.136776
Dennis Ververgaert	Hamilton	43.253309	-124.868105
Gary Bromley	Edmonton	53.544455	-113.490859
Bert Wilson	Orangeville	43.920109	-80.094359
Gary Inness	Toronto	43.652976	-79.382856
Hartland Monahan	Montreal	45.511528	-73.550721
Eric Vail	Timmins	48.477266	-81.331374
Glenn Goldup	Toronto	43.652976	-79.382856
Bob Dailey	Kingston	44.230449	-76.487058
John Wensink	Cornwall	45.020753	-85.73145
Al Sims	Toronto	43.652976	-79.382856
John Davidson	Ottawa	45.420543	-75.691767
Ian Turnbull	Montreal	45.511528	-73.550721
Ed Kea	Weesp		
Blake Dunlop	Hamilton	43.253309	-88.868105
John Van Boxmeer	Petrolia	42.881967	-82.144394
Mike Veisor	Toronto	43.652976	-79.382856
Andre St. Laurent	Rouyn-Noranda	48.234054	-79.018812
Michel "Bunny" Larocque	Hull	45.429158	-75.713009
Blaine Stoughton	Gilbert Plains	51.148302	-100.489643
Darcy Rota	Vancouver	49.260787	-123.112918
Larry Patey	Toronto	43.652976	-79.382856
Andre Savard	Temiscamingue	46.718557	-79.091869
Al MacAdam	Charlottetown	46.238953	-63.131711
Tom Lysiak	High Prairie	55.434013	-116.487753
Bill Hajt	Radisson	52.460676	-107.395193
Glenn "Chico" Resch	Moose Jaw	50.391799	-105.536425
Peter McNab	Vancouver	49.260787	-123.112918
Dave Lewis	Kindersley	51.467609	-109.15465
Denis Potvin	Hull	45.429158	-75.713009
Lanny McDonald	Hanna	51.644054	-111.92869
Bob Gainey	Peterborough	44.308684	-78.320081
Borje Salming	Kiruna		
Kelly Pratt	High Prairie	55.434013	-116.487753
Vic Mercredi	Yellowknife	62.453925	-114.371916
Jim McCrimmon	Ponoka	52.675951	-113.583292
Bob Stumpf	Milo	50.570003	-112.88214
Jim Hrycuik	Rosthern	52.662462	-106.331821
Doug Horbul	Nokomis	51.508704	-105.009077
Glen Burdon	Lumsdon	50.646265	-104.867612
Kim MacDougall	Regina	50.454439	-104.605965
Mike Baumgartner	Roseau	48.846251	-95.762933
Craig Sarner	St. Paul	44.953315	-93.090776
Gordon Buynak	Detroit	42.33241	-83.047363
Hank Lehvonen	Sarnia	42.974013	-82.402011
Rod Graham	London	42.98782	-81.241753
Bob Sykes	Sudbury	46.488995	-81.003606
Roger Wilson	Sudbury	46.488995	-81.003606
